period_month,country_code,country_name,headline,core,energy,food,services,non_energy_goods,gap_vs_target,gap_vs_euro_area
2000-10-01,DE,Germany,1.5,0.0,15.5,0.3,0.6,-0.7,-0.5,-0.8999999999999999
2001-02-01,DE,Germany,1.8,0.6,12.0,1.7,1.4,-0.5,-0.19999999999999996,-0.19999999999999996
2001-03-01,DE,Germany,1.8,0.7,8.8,2.9,1.4,-0.2,-0.19999999999999996,-0.40000000000000013
2001-05-01,DE,Germany,2.9,1.1,13.9,4.7,1.8,0.1,0.8999999999999999,-0.20000000000000018
2001-06-01,DE,Germany,2.4,1.1,8.7,5.0,1.9,0.2,0.3999999999999999,-0.5
2001-12-01,DE,Germany,1.4,1.4,-2.5,3.5,2.0,0.7,-0.6000000000000001,-0.7000000000000002
2002-01-01,DE,Germany,2.0,1.5,0.5,5.5,2.0,1.0,0.0,-0.6000000000000001
2004-06-01,DE,Germany,1.9,1.6,5.0,1.8,1.9,1.1,-0.10000000000000009,-0.5
2004-08-01,DE,Germany,2.2,1.6,6.4,2.0,2.0,1.2,0.20000000000000018,-0.19999999999999973
2004-09-01,DE,Germany,1.9,1.4,6.2,1.2,1.9,0.9,-0.10000000000000009,-0.20000000000000018
2005-07-01,DE,Germany,1.9,0.5,11.6,2.2,1.3,-0.6,-0.10000000000000009,-0.20000000000000018
2005-08-01,DE,Germany,1.9,0.5,11.4,2.2,1.3,-0.8,-0.10000000000000009,-0.30000000000000027
2005-09-01,DE,Germany,2.6,0.6,15.9,3.6,1.2,-0.3,0.6000000000000001,0.0
2005-11-01,DE,Germany,2.3,0.7,11.7,3.8,1.2,-0.1,0.2999999999999998,0.0
2005-12-01,DE,Germany,2.1,0.7,14.4,1.6,1.2,-0.1,0.10000000000000009,-0.19999999999999973
2006-06-01,DE,Germany,2.1,0.7,11.8,2.2,1.1,0.1,0.10000000000000009,-0.3999999999999999
2006-07-01,DE,Germany,2.1,0.8,10.1,2.6,1.3,0.1,0.10000000000000009,-0.2999999999999998
2006-09-01,DE,Germany,0.9,0.8,0.7,2.2,1.0,0.3,-1.1,-0.9
2007-04-01,DE,Germany,2.1,1.8,1.8,3.1,2.2,1.3,0.10000000000000009,0.20000000000000018
2007-06-01,DE,Germany,2.0,1.9,1.5,2.3,2.3,1.2,0.0,0.10000000000000009
2007-10-01,DE,Germany,2.6,1.9,6.2,3.3,2.3,1.4,0.6000000000000001,0.10000000000000009
2008-09-01,DE,Germany,3.0,1.2,11.9,4.5,1.5,0.7,1.0,-0.6000000000000001
2009-01-01,DE,Germany,1.0,1.2,-0.8,1.3,1.5,0.9,-1.0,-0.10000000000000009
2009-02-01,DE,Germany,1.1,1.4,-1.2,1.1,1.6,1.3,-0.8999999999999999,-0.09999999999999987
2009-03-01,DE,Germany,0.3,1.2,-4.5,0.5,1.0,1.4,-1.7,-0.3
2009-09-01,DE,Germany,-0.4,1.3,-8.9,-1.1,1.3,1.3,-2.4,-0.10000000000000003
2009-12-01,DE,Germany,0.9,1.2,0.9,-0.3,1.1,1.2,-1.1,0.0
2010-02-01,DE,Germany,0.4,0.6,0.1,0.0,0.8,0.5,-1.6,-0.4
2011-04-01,DE,Germany,2.7,1.6,10.4,1.7,1.9,1.0,0.7000000000000002,-0.09999999999999964
2011-10-01,DE,Germany,2.8,1.3,11.1,3.2,1.3,1.3,0.7999999999999998,-0.20000000000000018
2011-11-01,DE,Germany,2.7,1.3,11.1,2.9,1.3,1.1,0.7000000000000002,-0.2999999999999998
2012-04-01,DE,Germany,2.2,1.3,5.5,3.5,1.3,1.4,0.20000000000000018,-0.3999999999999999
2013-01-01,DE,Germany,1.9,1.1,4.3,3.4,1.4,0.7,-0.10000000000000009,-0.10000000000000009
2013-03-01,DE,Germany,1.9,1.8,1.1,2.8,2.3,0.9,-0.10000000000000009,0.19999999999999996
2013-04-01,DE,Germany,1.1,0.7,1.1,3.0,0.6,0.8,-0.8999999999999999,-0.09999999999999987
2014-01-01,DE,Germany,1.1,1.3,-1.7,3.3,1.5,0.8,-0.8999999999999999,0.30000000000000004
2014-06-01,DE,Germany,0.9,1.1,-0.3,0.8,1.6,0.4,-1.1,0.4
2014-12-01,DE,Germany,0.1,1.2,-6.5,0.0,1.4,0.7,-1.9,0.30000000000000004
2015-02-01,DE,Germany,-0.2,1.0,-7.2,0.4,1.3,0.2,-2.2,0.09999999999999998
2015-05-01,DE,Germany,1.6,2.7,-4.9,1.7,3.8,0.8,-0.3999999999999999,1.0
2016-01-01,DE,Germany,0.4,1.1,-5.7,1.2,1.1,1.2,-1.6,0.10000000000000003
2016-02-01,DE,Germany,-0.1,0.9,-8.6,1.1,0.9,1.0,-2.1,0.0
